utc,sha,label,scenario,gc,iter,wall_s,sim_s,peak_ws_mb,gc_counts,final_heap_mb
2026-07-05T21:34:34,reference,stock,soh,stock-wks,1,2.809,2.7224465,1060.0,463/99/3,968.6
2026-07-05T21:34:37,reference,stock,soh,stock-wks,2,2.816,2.7500484,1038.4,469/111/3,965.9
2026-07-05T21:34:39,reference,stock,soh,stock-wks,3,2.848,2.7514164,1061.8,468/150/3,967.8
2026-07-05T21:34:42,reference,stock,lohmix,stock-wks,1,2.973,2.894417,1387.1,451/156/7,1005.7
2026-07-05T21:34:45,reference,stock,lohmix,stock-wks,2,3.035,2.9318264,1364.2,449/118/7,975.4
2026-07-05T21:34:48,reference,stock,lohmix,stock-wks,3,3.045,2.9898033,1373.8,452/150/7,987.1
2026-07-05T21:34:52,reference,stock,pin,stock-wks,1,3.294,3.2359752,1055.8,464/93/3,971.2
2026-07-05T21:34:55,reference,stock,pin,stock-wks,2,3.333,3.2183356,1071.9,464/97/3,983.2
2026-07-05T21:34:58,reference,stock,pin,stock-wks,3,3.177,3.1203051,1042.0,464/92/3,957.2
2026-07-05T21:35:07,407cf59,m2-core,soh,custom,1,8.876,8.7479387,1367.6,50/50/50,0.0
2026-07-05T21:35:17,407cf59,m2-core,soh,custom,2,9.335,9.2550044,1363.5,51/51/51,0.0
2026-07-05T21:35:26,407cf59,m2-core,soh,custom,3,8.988,8.9335758,1376.3,48/48/48,0.0
2026-07-05T21:35:34,407cf59,m2-core,lohmix,custom,1,8.621,8.5245522,1379.1,51/51/51,0.0
2026-07-05T21:35:43,407cf59,m2-core,lohmix,custom,2,8.338,8.2546427,1386.4,48/48/48,0.0
2026-07-05T21:35:51,407cf59,m2-core,lohmix,custom,3,8.175,8.0558824,1384.1,49/49/49,0.0
2026-07-05T21:35:59,407cf59,m2-core,pin,custom,1,8.632,8.5449926,1380.2,48/48/48,0.0
2026-07-05T21:36:08,407cf59,m2-core,pin,custom,2,8.59,8.4885785,1377.3,51/51/51,0.0
2026-07-05T21:36:17,407cf59,m2-core,pin,custom,3,9.095,8.9863477,1372.2,51/51/51,0.0
2026-07-05T21:36:44,88ae0ef,m1-ninegates,soh,custom,1,8.749,8.6573453,1367.8,49/49/49,310.0
2026-07-05T21:36:53,88ae0ef,m1-ninegates,soh,custom,2,9.012,8.7339348,1363.3,50/50/50,130.2
2026-07-05T21:37:01,88ae0ef,m1-ninegates,soh,custom,3,8.621,8.5471745,1363.3,50/50/50,249.5
2026-07-05T21:37:09,88ae0ef,m1-ninegates,lohmix,custom,1,8.041,7.9728792,1373.3,51/51/51,128.6
2026-07-05T21:37:17,88ae0ef,m1-ninegates,lohmix,custom,2,7.905,7.8130027,1381.2,48/48/48,246.2
2026-07-05T21:37:26,88ae0ef,m1-ninegates,lohmix,custom,3,8.255,8.1648443,1380.1,49/49/49,130.2
2026-07-05T21:37:34,88ae0ef,m1-ninegates,pin,custom,1,8.557,8.4860783,1366.9,49/49/49,258.3
2026-07-05T21:37:43,88ae0ef,m1-ninegates,pin,custom,2,8.698,8.6428922,1373.4,50/50/50,130.2
2026-07-05T21:37:52,88ae0ef,m1-ninegates,pin,custom,3,8.927,8.8047031,1367.7,51/51/51,130.2
2026-07-05T21:38:19,3c25f87,m1-complete,soh,custom,1,9.006,8.9369006,1372.5,52/52/52,130.1
2026-07-05T21:38:28,3c25f87,m1-complete,soh,custom,2,9.019,8.9521255,1366.9,52/52/52,130.2
